RES_ID,RESPONSE,LABEL
TRB60,dikarenakan kondisi pabrik pembuat pakaian yang mengejutkan,1
TRB61,membuat produksi pakaian menjadi lbih beretika,1
TRB62,krena mungkin kekecilan /kebesaran,0
TRB63,mereka memiliki rasa kepedulian terhadap sesama.,1
TRB64,tren Fast Fashion dan membeli pakaian yang lebih awet dan dibuat sesuai etika.,0
TRB65,karena jauh lebih bermanfaat bagi orang-orang yg membutuhkannya,0
TRB66,Karena apabila pakainan tersebut di buang akan menjadi limbah oleh sebab itu apabila mempunyai pakaian yang sudah tidak di pakai lagi lebih baik di sumbangkan,0
TRB67,karena masyarakat akan lebih memilih untuk membeli pakaian yang beretika,1
TRB68,karena menampilkan gambar yang mengejutkan tentang kondisi kerja di sebuah pabrik pakaian membuat pembeli merasa kasian dan berniat untuk menyumbang,1
TRB69,karena menyumbang merupakan kegiatan amal yang dapat bermanfaat bagi banyak orang,1
TRB70,Mengurangi sampah lingkungan dan polusi;,0
TRB71,karena menolak harga yg terlalu tinggi,0
TRB72,tampilan kondisi kerja pada pabrik,1
TRB73,karena akan bermanfaat bagi yg membutuhkan,1
TRB74,"karena,orang-orang tersebut bersimpati tentang kondisi kerja di sebuah pabrik pakaian.",1
TRB75,karena konsumen melihat kondisi kerja pabrib yang kurang layak,1
TRB76,"karena mereka menyumbangkan semua pakaiannya beralasan karena pakaian itu sudah tak suka lagi di pakai,sehingga mereka menyumbangkannya",1
TRB77,"karena di luar sana masih banyak yang membutuhkan, sehingga tidak sepenuhnya sumbangan tersebut digunakan untuk pakaian saja. tapi juga untuk yg lain",0
TRB78,karena sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika,0
TRB79,tentang kondisi kerja di sebuah pabrik pakaian sebagai upaya untuk membuat produksi pakain menjadi beretika,1
TRB80,karena agar pabrik membuat atau memproduksi pakaian menjadi lebih beretika dan memastikan bahwa pekerja mendapatkan upah yg layak,1
TRB81,karena ada istilah lebih baik memberi aripada menerima,0
TRB82,untuk mengurangi penggunan air,0
TRB83,karena menyumbang itu bagus dan mendapatkan pahala,0
TRB84,karena mereka melihat tampilan gambar tentang kondisi kerja di sebuah pabrik pakaian yang mungkin menentang prinsip produksi pakaian yang beretika,1
TRB85,karena masyarakat lebih suka berbagi satu sama lain dan saling peduli satu sama lain,0
TRB86,memilih,0
TRB87,karena pakaian tersebut sudah tidak layak untuk dipakai da tidak beretika dengan baik,1
TRB88,karna perbuatan menyumbang untuk orang yang tidak mampu itu sangat mulia dan banyak mendapatkan pahala,1
TRB89,"menurut saya, kebanyakkan orang menyumbang karena orang-orang itu ingin memproduksi pakaian yang baru.",1
TRB90,"9/10 orang memilih menyumbang karena kondisi pakaian yang ingin mereka pakai bukan seperti yang diinginkan mereka setelah melihat layar tersebut, bisa jadi banyaknya bahan kimia yang digunakan dalam pembuatan pakaian yang akan mengganggu konsumen dalam pemakaiannya seperti gangguan kesehatan dan pakaian yang tidak tahan lama.",1
TRB91,KARENA PRIHATIN MELIHAT KEADAAN PARA PEKERJA PABRIK,1
TRB92,Karena pakaian yang dibeli merupakan fast fashion yang tidak dapat bertahan lama sehingga kebanyakan orang memilioh untuk menyumbangkan pakaian seharga 2 euro tersebut,0
TRB93,karna orang-orang berprihatin terhadap pabrik-pabrik yang kekurangan dana,0
TRB94,karena kalau disimpan pakaiannya akan kekecilan dan masih banyak yang membutuhkannya.,0
TRB95,"karena, pakaiannya akan menjadi lebih beretika",1
TRB96,karna menyumbang adalah bekal untuk menuju surga,0
TRB97,karena dengan menyumbang untuk membuat produksi pakaian menjadi lebih beretika,1
TRB98,karena jika ikhlas menyumangkan sedikit uang kita untuk anak yatim atau ke panti asuhan kita akan mendapatkan pahala yang setimpal.,0
TRB99,karena jika mereka menyumbangkan dengan barang akan berguna kedepanya,0
TRB100,untuk meningkatkan kualitas barang yang memuaskan untuk konsumen da menjadikan produksi pakaian menjadi lebih beretika,0
TRB101,"pakian awet adalah alternatif terhadap fast fashion. pakian awet lebih mahal biaya produk dan harga belinya, tetapi karena pakaian itu di buat untuk bertahan dengan lama",0
TRB102,"Menurut saya, para konsumen yang mengerti kondisi kerja yang tidak layak, mereka akan merasa iba dan lebih mengiklaskan 2 Euro tersebut dibanding membeli kaosnya. Sehingga para pekerja bisa mempunyai kondisi kerja dan penghasilan yang baik.",1
TRB103,Karena menurut mereka pakaian tersebut tidak beretika.,1
TRB104,karna itu lebih bermanfaat untuk orang lain daripada harus terbuang sia-sia,1
TRB105,2 euro tersebut sbg upaya untuk prokduksi pakaian menjadi beretika,1
TRB106,karna dapat membantu orang,0
TRB107,Karena kasihan dengan kondisi para pekerja.,1
TRB108,karena pakain tersebut tidak layak untuk dipakai,0
TRB109,"Karena daripada dibuang dan menjadi sampah, lebih baik disumbangkan.",0
TRB110,karena konsumen berpikir lebih baik menyumbang kan ny dari pada harus menjual ny.,1
TRB111,karena akan lebih baik lagi dari sebelumnya.,1
TRB112,karena pakaian itu beretika,0
TRB113,karena banyak yang membutuhkan,0
TRB114,"karena kalau dibuang dapat merugikan,makanya sebagian besar orang menyumbangkannya.",0
TRB115,kerena mereka ingin membantu perusahaan itu untuk membuat produksi pakaian menjadi lebih beretika dan membantu karyawan nya mendapat upah layak dan kondisi kerja yang baik;,0
TRB116,Sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika.,1
TRB117,"karena jika membeli pakaian lagi akan memenuhi pakaian lemari dan yg sudah tdk layak akan dibaung,maka kebanyakan orng memilih untuk disumbangkan kpda orng lain dan sumbangan baju tersebut layak untuk diapakai yg kurang mampu",0
TRB118,karena konsumen melihat dari kondisi kerja di sebuah pabrik pakaian tersebut kurang beretika sehingga mereka menyumbangkan 2 Euro untuk membuat produksi pakaian yang lebih beretika.,1
TRB119,"menurut saya, kebayakan orang memilih untuk menyumbang karena mungkin saja setelah melihat kondisi kerja di pabrik tersebut, masyarakat menaruh harapan kelak perusahaan tersebut dapat memproduksi pakaian menjadi lebih beretika,",1
TRB120,karna penyumbangan itu baik untuk membuat prodouksi pakaian menjadi lebih beretika,0
TRB121,karena menyumbang itu sama saja menolong orang lain yang sedang kesusahan,1
TRB122,kebanyakan orang memilih untuk menyumbang supaya pabrik pakaian tersebut memperbaiki kondisi kerja produksi pakaian yang lebih beretika,1
TRB123,"agar dapat membantu menjadi lebih mudah, dan membuat barang produksi lebih diminati",1
TRB124,karena melihat gambar tentang kondisi kerja subuah pabrik pakaian,0
TRB125,karena menyumbang adalah hal yang baik untuk masyarakat yang miskin atau tidak mampu,0
TRB126,"karena konsumen-konsumen tersebut sudah tahu dan sadar bagaimana buruknya kondisi kerja di salah satu pabrik pakaian. maka dari itu, 9 dari 10 konsumen memilih untuk menyumbangkan kaus 2 euro tersebut untuk meningkatkan kondisi kerja di pabrik-pabrik pakaian.",1
TRB127,karena mereka telah melihat bagaimana kondisi kerja di sebuah pabrik,0
TRB128,karena konsumen ingin berupaya untuk membuat produksi menjad lebih beretika,0
TRB129,karena lebih baik menyumbang daripada membeli,0
TRB130,karena mengurangi sampah lingkungan dan polusi,0
TRB131,karena barang yang tidak layak di pakai seharusnya di sumbangkan untuk diamalkan kepada orang yang lebih membutuhkan,0
TRB132,KARENA MENYUMBANG ADALAH HAL YANG SANGAT BAIK,1
TRB133,fashion adalah produksi pakaian untuk memenuhi tren fashion cepat berubah,0
TRB134,Karena dengan menyumbangkan uang akan menurangi pakaian fast fashion dan meningkatkan pakaian beretika.,1
TRB135,mungkin karna kondisi pabrik yang kurang mendukung atau kondisi perkerja yang kasihan,0
TRB136,karena konsumen tidak tega melihat pekerja yang bekerja keras dengan gaji rendah,1
TRB137,karna kaus yang di tawarkan oleh produsen belum banyak diminati oleh pembeli,0
TRB138,karena menyumbang bagian dari amal,0
TRB139,sebab untuk membantu produktivitas suatu pabrik,1
TRB140,karena pakaian-pakaian ini biasanya murah dan tidak bertahan lama karena konsumen biasanya cepat menggantinya dengan mode terbaru.,1
TRB141,karena akan sayang kalo di buang begitu saja . lebih baik di kasih kepada orang yang membutuhkan,0
TRB142,karena menyumabng adalah perbuatan yang terpuji dan dapat membantu kita untuk mendapat pakaian yang beretika karena semua bahan untuk memproduksi terpenuhi dari hasil kita menyumbang,1
TRB143,supaya bisa mengurangi pakaian yang berakhir ditempat pembuangan sampah.,1
TRB144,pakaian awet adalah alternatif terhadap fast fashion,0
TRB145,karena lebih bermanfaat.,1
TRB146,Dikarenakan sembilan dari sepuluh konsumen tersebut menyadari akan betapa buruknya akibat dari pakaian yang tidak memenuhi etika.,1
TRB147,"? karena,jika mereka menyumbangkan 2 euro untuk membuat produksi pakaian menjadi lebih beretika,maka pembuatannnya makin banyak sehingga biayanya yang mahal akan menjadi murah",0
TRB148,karena jika konsumen tersebut membelinya akan menambah sampah lingkungan,1
TRB149,karena mereka atau konsumen yang membeli melihat langsung tentang kondisi kerja disebuah pabrik pakaian dan ternyata hasilnya mengejutkan dikarenakan konsumen melihat pabrik membuat pakaian yang kurang berateka,1
TRB150,karena dengan menyumbangkan uang sebanyak 2 Euro tersebut konsumen akan mendapatkan pakaian yang lebih beretika,1
TRB151,karena menurut mereka tempat pembuatanya atau cara kerja mereka kurang baik.,1
TRB152,karena terlalu banyaknya pakaian yang sudah di beli,1
TRB153,karena dengan cara menyumbang itu bisa membuat produksi pakaian menjadi lebih beretika,1
TRB154,untuk membantu orang yang membutuhkan,1
TRB155,KARNA MEREKA SANGAT MENYUKAI KAUS PUTIH TERSEBUT,0
TRB156,"Karenam sebelum sebuah kaus diberikan kepada konsumen, layar menampilkan gambar yang mengejutkan tentang kondisi kerja di sebuah pabrik pakaian.",1
TRB157,"Sebagai bagian dari eksperiman, sebuah mesin penjual di Berlin menawarkan kaus putih seharga 2 Euro (atau sekitar Rp30.000). Sebelum sebuah kaus diberikan kepada konsumen, layar menampilkan gambar yang mengejutkan tentang kondisi kerja di sebuah pabrik pakaian.  karena pakaian itu dibuat untuk bertahan lebih lama, maka yang dibuat pun menjadi lebih sedikit. Kita sebagai konsumen harus menolak tren Fast Fashion dan membeli pakaian yang lebih awet dan dibuat sesuai etik",1
TRB158,Karena 2 euro sama dengan harga sebuah kaus putih,0
TRB159,krena menyun bang itu berpahala,1
TRB160,karena kondisi kerja pabrik iyu bagus,0
TRB161,"karena menyumbang merupakan suatu bentuk mengamal, menyumbang dalam ajaran agaama yaitu memberi kepada orang yang membutuhkan . itu merupakan suatu tindakan yang terpuji",1
TRB162,Karna itu merupakan infestasi,0
TRB163,karana dengan menyumbang kita bisa membuat produksi pakain menjadi lebih beretika,0
TRB164,karena kondisi di sebuah pabrik yg mengejutkan.,0
TRB165,"karna lebih murah jika menyumbang ,mengapa lebih murah karna 2 euro tersebut sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika",1
TRB166,Sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika.,1
TRB167,karena yang harus di produksi setiap tahun,0
TRB168,Karena mereka merasa kasihan kepada kondisi di pabriknya yang mungkin tidak bersih atau mungkin mesinnya tidak lengkap dan merasa kasihan kepada pegawainya yang mendapatkan gaji kurang dari yang ditetapkan.,1
TRB169,karena kalo menyumbang akan dapat pahala,1
TRB170,"mungkin pakaian itu tidak bagus untuk di pakai lagi.dan mungkin saja pakaian itu tidak muat di pakai oleh orang tersebut,",0
TRB171,"karena konsumen ingin merubah produsen yang membuat fast fashion ini menjadi lebih baik melihat pabriknya yang terlihat sangat buruk, lagipula hanya dengan memberikan 2 euro saja bukanlah uang yang banyak dan orang pasti tak apa merelakannya.",0
TRB172,"Menurut saya, kebanyakan orang memilih untuk menyumbang agar pabrik bisa dibenahi dengan menggunakan uang sumbangan mereka. Selain itu mereka ingin memperbaiki kondisi kerja pabrik pakaian yang sangatlah buruk dan sangat tidak sesuai dengan prinsip produksi pakaian yang beretika nomor 1 yaitu 'Memastikan bahwa pekerja mendapatkan upah layak dan kondisi kerja yang baik'.",1
TRB173,karena untuk membantu sebagian konsumen,0
TRB174,karena menyumbang lebih baik daripada menerima,1
TRB175,"karena lebih bermanfaat, dari pada diabuang dan tidak ada yang menggunakan",1
TRB176,karna gambarnya tidak cocok dengan warna kaus baju,0
TRB177,Karena kita juga makhluk sosial harus tolong menolong jadi kita pantas menyumbang kepada orang yang ada dibawah kita,0
TRB178,karena dengan menyumbang para konsumen dapat membantu para pekerja,1
TRB179,Karena dengan menyumbang akan membantu proses produksi yang lebih bagus lagi maka akan banyak konsumen nantinya yang akan membeli produk tersebut,1
TRB180,produksi pakaian menjadi lebih beretika.,1
TRB181,lebih baik menyumbang,0
TRB182,akaian-pakaian ini biasanya murah dan tidak bertahan lama karena konsumen biasanya cepat menggantinya dengan mode terbaru. Fas,0
TRB183,karena dia ingin pakaian mereka beretika,0
TRB184,karena dia akan membuat produksi pakaian yang beretika maka dia akan menyumbangknnya,1
TRB185,upaya untuk membuat produksi pakaian menjadi lebih beretika,0
TRB186,karna menyambung lebih gampang dari memputus,0
TRB187,"menurut saya, kebanyakan orang memilih menyumbangkan bajunya dikarenakan baju itu sudah tidak muat lagi, merasa tidak nyaman lagi",0
TRB188,karena mereka melihat kondisi kerja di sebuah pabrik pakaian,1
TRB189,karena dengan cara menyumbang pakaian kita menjadi lebih beretika,0
TRB190,itu dapat barang dari konsumen itu dapat terjual juga.,0
TRB191,karena mendapatkan pahala,0
TRB192,karena pakaian itu bisa dipakai dan pakaian nya pun beretika,1
TRB193,karena untuk membantu proses perbaikan sebuah pabrik agar terlihat lebih layak dan produksi pakaian menjadi lebih beretika,1
TRB194,karena mereka mengetahui akan kelebihan dari pakaian yang beretika seperti ; Memastikan bahwa pekerja mendapatkan upah layak dan kondisi kerja yang baik Mengurangi sampah lingkungan dan polusi dan Mengurangi penggunaan air.,1
TRB195,karena dengan menyumbang maka akan membuat produksi pakaian beretika dan kondisi kerja pabrik menjadi lebih baik daripada sebelumnya,1
TRB196,karena jika mereka menyumbakan masih banyak yang bisa menggunakan orang di luar sana. dan jika dibuang sangat tidak bagus krena mungkin pakean tersebut masih layak pakai tapi mereka membuangnya.,1
TRB197,karena munkin kebanyakan orang mwngahargai apa yang di lakukan perusahan,0
TRB198,karena kondisi kerja tersebut menampilkan bahwa pekerja tidak mendapatkan upah yg layak dan kondisi kerja yg baik,1
TRB199,karenakasian,0
TRB200,karan menyumbang perbuatan baik dan menambah pahala bagi kita juga.,1
TRB201,meemas tikan bahwA pejerja mendapatkan upah layak,0
TRB202,kenapa kita harus menyum bang karena kita sebagai manusia kitaharu saling yolong menolong dan untuk kebaikan juga sangat pentinng bagi manusia,1
TRB203,Karna mereka melihat gambar yang mengejutkan tentang kondisi kerja di sebuah pabrik pakaian.,1
TRB204,sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika.,1
TRB205,karena menyumbang itu lebih bagus.,0
TRB206,karena untuk produksi pakaian untuk menjadi lebih beretika.,0
TRB207,"karena sebelum kaus diberikan kepada konsumen,layar menampilkan gambar yang mengejutkan tentang kondisi kerja di sebuah pabrik pakaian.",0
TRB208,"Sebagai bagian dari eksperiman, sebuah mesin penjual di Berlin menawarkan kaus putih seharga 2 Euro (atau sekitar Rp30.000). Sebelum sebuah kaus diberikan kepada konsumen, layar menampilkan gambar yang mengejutkan tentang kondisi kerja di sebuah pabrik pakaian. Karena, pada negara-negara lain mungkin Fashion nya masih kurang beretika yang menyebabkan negara-negara yang sudah bagus memiliki Fashion, akan terganggu dan akan menyebabkan budaya-budaya luar masuk kepada negara yang sudah memiliki Fashion yang berkelas.",0
TRB209,karena kondisi kerja disebuah pabrik pakaian tidak layak,1
TRB210,karena mereka melihat kondisi kerja dipabrik pakaian tersebut tidak layak,1
TRB211,"Sebagai bagian dari eksperiman, sebuah mesin penjual di Berlin menawarkan kaus putih seharga 2 Euro (atau sekitar Rp30.000). Sebelum  Sebagai bagian dari eksperiman, sebuah mesin penjual di Berlin menawarkan kaus putih seharga 2 Euro (atau sekitar Rp30.000). Sebelum sebuah kaus diberikan kepada konsumen, layar menampilkan gambar yang mengejutkan tentang kondisi kerja di sebuah pabrik pakaian.",0
TRB212,karena mereka ingin upaya untuk membuat produksi pakaian menjadi lebih beretika,0
TRB213,karena untuk sodakoh dan membantu,1
TRB214,Karena jika mereka memilih melanjutkan pembelian maka akan menyebabkan pemborosan uang.,1
TRB215,karena kondisi kerja pabrik pakaian yang memprehatinkan,1
TRB216,karna berbagi itu indah,0
TRB217,karena lebih baik disumbangkan daripada dibuang dan menjadi limbah dan sampah,0
TRB218,UNTUK MEMBERIKAN SEDEKAH YANG DIBERIKAN OLEH TUHAN YANG MAHA ESA,1
TRB219,karena biar tercukupinya dana untuk pembuatan pakaian yang beretika.,0
TRB220,karena mereka mendukung akan perubahan produksi pakaian menjadi lebih beretika.,1
TRB221,"karena, menunjukan tentang kondisi kerja di sebuah pabrik pakaian.",1
TRB222,karena kalau pakaian yang sudah tidak dipakai terus disumbangkan akan mengurangi penumpukan sampah pakaian,0
TRB223,jihydgsjdisadusdtgwtsfdhs,0
TRB224,karena untuk upaya membuat produksi pakaian menjadi lebih beretika.,1
TRB225,karena lebih baik menyumbang dari pada di sumbang jika kita menyumbang belum tentu rejeki datang menimpal perusaahan tersebut.,1
TRB226,karna sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika,1
TRB227,Karena mereka berfikir jika uang/barang yang mereka disumbangkan akan menambah rezeki mereka bukan malah berkurang dan mereka pun akan mendapat pahala dari apa yang mereka lakukan.,1
TRB228,karena sayang untuk di buang,0
TRB229,agar pekerja mendapatkan upah yg layak,1
TRB230,Karena kebanyakan orang merasa prihatin dengan pekerja pekerja pada perusahaan pabrik pakaian,1
TRB231,menyebab kankondisi kerja,0
TRB232,karena masyarakat menginginkan pakaian yang beretika dan menginginkan upah dan tempat kerja yang layak,1
TRB233,karena ia adalah sebagai upaya untuk membuat prokduksi pakaian menjadi lebih beretika,1
TRB234,karena lebih baik untuk semuanya,0
TRB235,menurut saya menyumbang akan menjadi hal yang baik jika itu untuk hal kebaikan juga,1
TRB236,karena dengan menyumbang dapat membantu orang yang membutuhkan,1
TRB237,karna harga yang ditawarkan tidak sebanding dengan kualitas kaus yang diberikan sehingga banyak konsumen yang berfikir lebih baik untuk disumbangkan saja dari pada membeli sebuah kaus dengan harga 2 Euro,0
TRB238,karena menyumbang itu lebih baik,0
TRB239,Karena perihatin dengan kondisi pekerja.,1
TRB240,karena kasian terhadap pekerjaklarena kerjanya begitu letih akan tetapi upahnya sedikit.,1
TRB241,Karena Dengan menyumbang kita bisda mendapat amal sekaligus Mengurangi sampah,1
TRB242,Karena orang luar sudah banyak yang lihat bagaimana cara pembuatan baju tersebut yang bisa dibilang sangat tidak efektif sehingga tidak layak untuk dipakai dan orang lain tersebut merasa kasihan dan karena itu ia tidak tega melihat mereka makanya ia menyumbangkan uangnya untuk mereka yang pantas menerimanya,1
TRB243,Karna menyumbang adalah salah satu upaya untuk membuat produksi pakaian menjadi lebih beretika,1
TRB244,karena biar laris kalo berjuaalan dan untuk beramal ibadah,0
TRB245,karena sumbangan tersebut dapat membuat produksi pakaian tersebut lebih berkualitas dan pembuatannya lebih beretika.,1
TRB246,karena saat melihat tentang kondisi kerja di sebuah pabrik pakaian tersebut mungkin terdapat gambar pekerja yang sedang bekerja dengan tidak layak atau gambar pekerja yang memakai pakaian yang tidak layak untuk dipakai.Jadi konsumen memilih memyumbang baju tersebut karena merasa kasihan atau khawatir melihat kondisi kerja di pabrik pakaian .tersebut.,1
TRB247,jika kita menyumbang kita akan dapet pahala dan kita akan membantu orang yang sangat membutuhkan sejumlah sumbangan yang kita berikan.,1
TRB248,karena tidak terpakai,0
TRB249,sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika.,1
TRB250,Bisa menmbah pahala bisa jadi banyak manfaat bisa menyenangkan hati. DAN TIDAK MENYUSAHKAN TUKANG SAMPAH,1
TRB251,"karena menurut konsumen menyumbang adalah salah satu cara yang baik agar kita tidak memboros dengan cara membuangnya ketenmpat sampah,melainkan kita bisa berbut kebaikan dengan cara menyumbangkannya kepada orang yang tidak mampu",1
TRB252,karenaa sebagian orrang islam ingin berbagi amal untuk mendapatkan pahala denggan menyumbang itu allah akn mengati dengaan pahal yang berlipakkn gnda,0
TRB253,"karena sebelum sebuah kaos diberikan kepada konsumen, layar menampilkan gambar yang mengejutkan tentang kondisi kerja di sebuah pabrik pakaian.",0
TRB254,karena uangnya pun lebih bermanfat untuk membeli kebutuhan hidup.di bandingkan menyumbang pakeaian.,1
TRB255,"Sebagai bagian dari eksperiman, sebuah mesin penjual di Berlin menawarkan kaus putih seharga 2 Euro (atau sekitar Rp30.000). Sebelum sebuah kaus diberikan kepada konsumen, layar menampilkan gambar yang mengejutkan tentang kondisi kerja di sebuah pabrik pakaian. Setelahnya, konsumen diberi pilihan apakah akan melanjutkan pembelian atau menyumbangkan 2 Euro tersebut sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika. Sembilan dari sepuluh konsumen memilih untuk menyumbang. Menurutmu, mengapa kebanyakan orang memilih untuk menyumbang? karna dari pada tidak terpakai dan menjadi sampah mendingan dikasih kepada orang yang membutuhkan dengan cara disumbangkan",0
TRB256,karena lebih baik menyumbang dari pada beli,0
TRB257,"Menyumbang merupakan perbuatan baik, lebih baik memberi dari pada menerima",0
TRB258,karena kondisi kerja dari sebuah pabrik sangat tidak menjamin untuk melakukan produktifitas,1
TRB259,karena mengurangi produksi pembuatan pakaian.,1
TRB260,karena upaya untuk membuat produksi pakaian menjadi lebih beretika,1
TRB261,karna dengan menyumbang konsumen bisa membeli barang baru atau di belanjakannya,0
TRB262,Kareana kekurangan-kekurangan pabrik yang mengejutkan untuk bahan-bahan pakaian yang akan melanjutkan pembelian.,1
TRB263,Karena banyak orang yang tidak suka,0
TRB264,karena'pakaianawetlebihmahal.,0
TRB265,KARNA MENYUMBANG KITA BISA MENGAMALKAN KARNA DAPET PAHALA,1
TRB266,Karena untuk pakaian yang tidak dipakai bisa disumbangkan bagi yang membutuhkan karena lebih beretika.,1
TRB267,karena dengan menyumbang produsen akan mengondisikan kerja disebuah pabrik,0
